timestamp,pos_x,predicted_pos_x,pos_y,predicted_pos_y,coin_count,shots_count,destory_enemy_count,score,y_pred_cluster,y_pred_class,y_pred_offline
2023-06-25 20:07:37.188846,368.0,0.0,496.5,0.0,0,0,0,0,1,,1
2023-06-25 20:07:37.218047,368.0,184.0,493.0,248.25,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.244724,371.5,368.0,489.5,329.8333333333333,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.270084,375.0,276.875,486.0,369.75,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.296420,378.5,296.5,482.5,393.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.322968,382.0,298.6,479.0,390.2,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.350011,385.5,375.0,475.5,486.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.376258,389.0,377.8,472.0,482.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.403159,392.5,382.0,468.5,479.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.430665,396.0,385.5,465.0,475.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.458264,399.5,389.0,461.5,472.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.485111,403.0,392.5,458.0,468.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.510342,406.5,396.0,454.5,465.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.537041,410.0,399.5,451.0,461.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.563157,413.5,403.0,447.5,458.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.590847,417.0,406.5,444.0,454.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.617094,420.5,410.0,440.5,451.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.642358,424.0,413.5,437.0,447.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.670535,427.5,417.0,433.5,444.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.696855,431.0,420.5,430.0,440.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.723798,434.5,424.0,426.5,437.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.750914,438.0,427.5,423.0,433.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.776647,441.5,431.0,419.5,430.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.802858,445.0,434.5,416.0,426.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.828558,448.5,438.0,412.5,423.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.855879,452.0,441.5,409.0,419.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.883076,455.5,445.0,405.5,416.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.910184,459.0,448.5,402.0,412.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.936803,462.5,452.0,398.5,409.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.963979,466.0,455.5,395.0,405.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:37.991876,469.5,459.0,391.5,402.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.019883,469.5,462.5,388.0,398.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.046096,469.5,469.5,384.5,395.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.073783,469.5,469.5,381.0,391.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.100363,469.5,469.5,377.5,388.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.128097,469.5,469.5,374.0,384.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.154757,469.5,469.5,370.5,381.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.181893,469.5,469.5,367.0,377.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.207682,469.5,469.5,363.5,374.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.234012,469.5,469.5,360.0,370.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.261704,469.5,469.5,356.5,367.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.290469,469.5,469.5,353.0,363.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.320086,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.346824,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.373168,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.398929,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.427134,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.453252,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.479462,469.5,469.5,353.0,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.507059,469.5,469.5,349.5,360.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.534840,469.5,469.5,346.0,356.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.560968,469.5,469.5,342.5,353.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.588012,469.5,469.5,339.0,349.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.615064,469.5,469.5,335.5,346.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.642621,469.5,469.5,332.0,342.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.670800,469.5,469.5,328.5,339.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.698587,469.5,469.5,325.0,335.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.725736,469.5,469.5,321.5,332.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.754124,469.5,469.5,318.0,328.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.780811,466.0,469.5,314.5,325.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.808998,462.5,469.5,311.0,321.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.836807,459.0,466.0,307.5,318.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.865633,455.5,462.5,304.0,314.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.895445,452.0,459.0,300.5,311.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.923060,448.5,455.5,300.5,307.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.952683,445.0,452.0,300.5,307.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:38.980572,441.5,448.5,297.0,307.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.007950,438.0,445.0,293.5,304.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.035489,434.5,441.5,290.0,300.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.062984,431.0,438.0,286.5,297.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.091886,431.0,434.5,283.0,293.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.119226,431.0,434.5,279.5,290.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.145800,431.0,434.5,276.0,286.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.173044,431.0,434.5,272.5,283.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.207107,431.0,434.5,269.0,279.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.240328,427.5,434.5,265.5,276.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.267912,424.0,431.0,262.0,272.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.294678,420.5,427.5,258.5,269.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.327112,417.0,424.0,255.0,265.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.354664,413.5,420.5,255.0,262.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.381719,410.0,417.0,255.0,262.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.408789,406.5,413.5,255.0,262.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.437055,403.0,410.0,255.0,262.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.465138,399.5,406.5,251.5,262.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.493710,396.0,403.0,248.0,258.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.523774,392.5,399.5,244.5,255.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.550463,389.0,396.0,241.0,251.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.580533,385.5,392.5,237.5,248.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.610022,382.0,389.0,234.0,244.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.639983,378.5,385.5,230.5,241.0,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.670567,375.0,382.0,227.0,237.5,0,0,0,0,1,1.0,1
2023-06-25 20:07:39.700279,371.5,378.5,223.5,234.0,0,0,0,0,1,1.0,1
